plot_mode,subgroup,ycol,xvar,sec,n_sample,n_boot_ok,x,y,y_lo,y_hi,x_lim_lo,x_lim_hi,y_lim_lo,y_lim_hi
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,21,66.81031746425371,65.83834332326899,68.13205450329639,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,21.156424581005588,66.68391058591178,65.79454520250366,67.86049675082187,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,21.312849162011172,66.58282311654246,65.77654251750924,67.61741597001321,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,21.46927374301676,66.50572535981412,65.76595604318331,67.40827136312545,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,21.625698324022345,66.45128761939502,65.77252011085953,67.23637361613443,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,21.782122905027933,66.41818019895342,65.81178188711449,67.12045792180756,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,21.93854748603352,66.40507340215767,65.83279890625153,67.0789716392877,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,22.094972067039105,66.41063753267603,65.84064692127967,67.03568687412684,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,22.251396648044693,66.43354289417678,65.90777756617231,67.04235178501035,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,22.40782122905028,66.47245979032829,65.96310392761649,67.06340003104846,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,22.564245810055866,66.52605852479867,66.01055242880618,67.09977394965236,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,22.720670391061457,66.59300940125645,66.09182438475385,67.17187592599487,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,22.87709497206704,66.67198272336974,66.18746296864526,67.23161833150334,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,23.033519553072622,66.76164879480689,66.23842271347338,67.3229993503499,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,23.18994413407821,66.86067791923622,66.34818548020553,67.42496716145942,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,23.3463687150838,66.96774040032604,66.46120012948127,67.5324129933413,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,23.502793296089383,67.08150654174455,66.57610854168185,67.63809064734161,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,23.65921787709497,67.20064664716013,66.70135915465409,67.74334947632002,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,23.81564245810056,67.32383102024099,66.82835063122582,67.85126599100613,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,23.972067039106147,67.4497299646555,66.93952348568638,67.96079607251022,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,24.12849162011173,67.57701378407194,67.07728681099186,68.07089560194254,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,24.28491620111732,67.70435278215855,67.22707007941298,68.18052046041332,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,24.441340782122904,67.83041726258368,67.36575797919296,68.28116979100658,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,24.59776536312849,67.95387752901557,67.49909133837374,68.37588400552522,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,24.75418994413408,68.0734038851226,67.62380821160974,68.48422931449738,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,24.910614525139664,68.18766700587808,67.71777649391638,68.59307866791707,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,25.067039106145252,68.29538077290925,67.81554810925755,68.69401332321976,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,25.22346368715084,68.39602538343577,67.91609501633525,68.78786174710618,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,25.379888268156424,68.48996891692194,68.01130293072472,68.88089189849516,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,25.536312849162012,68.57763215501974,68.10147978106869,68.98347242247065,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,25.692737430167597,68.65943587938118,68.18693349600981,69.07631269752427,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,25.849162011173185,68.7358008716585,68.26797200419082,69.15439132784901,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,26.005586592178773,68.80714791350367,68.3449032342544,69.22457008761884,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,26.162011173184357,68.87389778656862,68.41803511484325,69.2995515669744,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,26.318435754189945,68.9364712725057,68.48767557460008,69.34795195315196,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,26.47486033519553,68.99528915296673,68.55413254216758,69.40055966082157,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,26.63128491620112,69.05077220960406,68.62508991788155,69.45036347687305,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,26.787709497206706,69.10334122406948,68.67872771530537,69.50314845016838,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,26.94413407821229,69.1534169780152,68.7349084626394,69.54888579009136,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,27.10055865921788,69.20142025309322,68.77114823455494,69.59178338427294,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,27.256983240223462,69.24777183095573,68.80550663887368,69.63265685595829,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,27.41340782122905,69.29289249325468,68.84842562399643,69.67605216265909,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,27.56983240223464,69.3372030216422,68.9001396238262,69.72006716480993,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,27.726256983240223,69.38112419777038,68.95245972309061,69.76296124015727,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,27.88268156424581,69.42507680329126,69.0055551855095,69.80593773337219,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,28.039106145251395,69.46948161985688,69.05959527480273,69.84946399739462,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,28.195530726256983,69.51475942911931,69.11474925469012,69.89400738516449,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,28.35195530726257,69.56133101273076,69.17118638889151,69.9400352496217,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,28.508379888268156,69.6096171523431,69.20227574560212,69.98801494370619,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,28.664804469273744,69.66003862960854,69.2487168363273,70.03841382035787,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,28.821229050279328,69.71301518660296,69.30870755366087,70.09965990425204,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,28.977653631284916,69.76895519684342,69.37017244859291,70.15243562757964,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,29.134078212290504,69.82819992053143,69.43337111132858,70.20872773652007,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,29.290502793296092,69.89071958758801,69.49833053354025,70.27282260544413,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,29.446927374301676,69.95634306928947,69.56498906469874,70.33123411552315,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,29.60335195530726,70.02489895864697,69.63328487978234,70.39316641468112,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,29.75977653631285,70.096215848672,69.70315615376937,70.46943071580107,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,29.916201117318437,70.1701223323757,69.7745410616381,70.5483888850103,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,30.072625698324025,70.24644700276941,69.84737777836688,70.62977048844118,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,30.22905027932961,70.32501845286443,69.93970334191252,70.71330509222611,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,30.385474860335194,70.40566527567199,70.03217894319931,70.80510466912146,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,30.54189944134078,70.48821606420346,70.11700572793202,70.89351596428682,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,30.69832402234637,70.57249941147005,70.19494784963251,70.98410232536106,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,30.85474860335196,70.65834391048314,70.27449395815873,71.07088508790014,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,31.011173184357546,70.745578154254,70.35397183629493,71.16173111790047,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,31.167597765363126,70.83403073579385,70.4371713057223,71.25373499957135,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,31.32402234636871,70.92353024811403,70.52230369363674,71.34668438756884,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,31.480446927374302,71.01390528422579,70.60053775257967,71.4350405155867,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,31.63687150837989,71.10498443714052,70.6730007657302,71.52329744546444,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,31.793296089385475,71.19659629986938,70.74748746361959,71.6113339639013,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,31.94972067039106,71.28856946542379,70.82822150983564,71.70163526710478,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,32.10614525139665,71.38073252681494,70.91540602720805,71.80084705975551,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,32.262569832402235,71.4729140770542,71.00499497279928,71.8983572641845,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,32.41899441340782,71.56494270915277,71.09701755307181,71.99379104299523,20,50,66,81
slice_median,Female,rSO2_Ch1,ET_CO2,1,10000,0,32.57541899441341,71.65664701614995,71.18669400327522,72.09318246866391,20,50,66,81
