sec,subgroup,subgroup_query,ycol,stage,n_rows,n_patients
1,Female,Sex == 0,rSO2_Ch1,after_required_etco2_y_nonmissing,5782823,537
1,Female,Sex == 0,rSO2_Ch1,after_cohort_clip_to_missing_and_dropna,5603417,537
1,Female,Sex == 0,rSO2_Ch1,final_usable_points_strict_etco2_rso2,5561089,537
1,Female,Sex == 0,rSO2_Ch1,after_intraop_covars_clip_to_missing,5561089,537
1,Female,Sex == 0,rSO2_Ch1,after_intraop_covars_fill,5561089,537
1,Female,Sex == 0,rSO2_Ch2,raw_timeseries_rows,7168831,558
1,Female,Sex == 0,rSO2_Ch2,after_required_etco2_y_nonmissing,5814512,537
1,Female,Sex == 0,rSO2_Ch2,after_cohort_clip_to_missing_and_dropna,5641109,537
1,Female,Sex == 0,rSO2_Ch2,final_usable_points_strict_etco2_rso2,5598224,537
1,Female,Sex == 0,rSO2_Ch2,after_intraop_covars_clip_to_missing,5598224,537
1,Female,Sex == 0,rSO2_Ch2,after_intraop_covars_fill,5598224,537
1,Female,Sex == 0,rSO2_Ch3,raw_timeseries_rows,7168831,558
1,Female,Sex == 0,rSO2_Ch3,after_required_etco2_y_nonmissing,5842599,535
1,Female,Sex == 0,rSO2_Ch3,after_cohort_clip_to_missing_and_dropna,5660993,535
1,Female,Sex == 0,rSO2_Ch3,final_usable_points_strict_etco2_rso2,5617312,535
1,Female,Sex == 0,rSO2_Ch3,after_intraop_covars_clip_to_missing,5617312,535
1,Female,Sex == 0,rSO2_Ch3,after_intraop_covars_fill,5617312,535
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,ALL,after_subgroup_filter,5587094,421
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch1,raw_timeseries_rows,5587094,421
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch1,after_required_etco2_y_nonmissing,4580223,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch1,after_cohort_clip_to_missing_and_dropna,4462536,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch1,final_usable_points_strict_etco2_rso2,4440179,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch1,after_intraop_covars_clip_to_missing,4440179,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch1,after_intraop_covars_fill,4440179,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch2,raw_timeseries_rows,5587094,421
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch2,after_required_etco2_y_nonmissing,4602759,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch2,after_cohort_clip_to_missing_and_dropna,4484885,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch2,final_usable_points_strict_etco2_rso2,4462302,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch2,after_intraop_covars_clip_to_missing,4462302,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch2,after_intraop_covars_fill,4462302,407
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch3,raw_timeseries_rows,5587094,421
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch3,after_required_etco2_y_nonmissing,4616596,406
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch3,after_cohort_clip_to_missing_and_dropna,4486572,406
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch3,final_usable_points_strict_etco2_rso2,4463257,406
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch3,after_intraop_covars_clip_to_missing,4463257,406
1,Pre_hypertension_more_140_90,Hypertension_140_90 == 1,rSO2_Ch3,after_intraop_covars_fill,4463257,406
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,ALL,after_subgroup_filter,19798234,1451
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch1,raw_timeseries_rows,19798234,1451
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch1,after_required_etco2_y_nonmissing,16077330,1385
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch1,after_cohort_clip_to_missing_and_dropna,15652633,1385
1,Pre_hypertension_less_140_90,Hypertension_140_90 == 0,rSO2_Ch1,final_usable_points_strict_etco2_rso2,15581524,1385
