x,pred_mean,pred_lo_2.5,pred_hi_97.5,xvar,ycol,sec,subgroup,n_sample,plot_mode,n_boot_ok
21.0,74.72032832415685,73.4625489412358,76.2263828524699,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
21.156424581005588,74.78792092055427,73.65049008676311,76.17637623244514,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
21.312849162011172,74.84284262207804,73.81783757535226,76.05561271860248,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
21.46927374301676,74.88613423787942,73.91046536762035,75.94426621260023,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
21.625698324022345,74.91883657710953,73.96123764775422,75.84201533356233,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
21.782122905027933,74.94199044891964,74.12542663952352,75.79400430544673,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
21.93854748603352,74.95663666246102,74.17738018521891,75.78907902366885,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
22.094972067039105,74.96381602688479,74.17421302550892,75.7822394236598,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
22.251396648044693,74.96456935134222,74.18473107633264,75.77022595329689,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
22.407821229050278,74.95993744498452,74.18340238877347,75.75378777587034,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
22.564245810055866,74.95096111696293,74.21390142825794,75.73367405467036,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
22.720670391061454,74.93868117642869,74.26335775197197,75.71063395298721,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
22.877094972067038,74.92413843253296,74.22784938449917,75.6854166341111,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
23.033519553072626,74.90837369442697,74.24915920041012,75.58990606396979,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
23.18994413407821,74.89242777126194,74.27410342455846,75.58393939754588,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
23.3463687150838,74.87734147218919,74.29841393536348,75.55934854738173,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
23.502793296089386,74.86415560635972,74.30820488546951,75.49847627784085,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
23.65921787709497,74.85391098292499,74.28866054445243,75.46115308491048,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
23.81564245810056,74.84764841103608,74.30864882768759,75.47224430438668,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
23.972067039106147,74.84640869984423,74.29776337080065,75.41850693598668,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
24.12849162011173,74.85123120282925,74.31539812845143,75.37393894010192,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
24.28491620111732,74.86280542866572,74.33386017260187,75.35387778209176,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
24.441340782122904,74.88083339769297,74.35733264558313,75.37384481948881,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
24.59776536312849,74.90484122507512,74.3975429821639,75.40279093837745,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
24.75418994413408,74.93435502597652,74.4301334806844,75.44488399545124,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
24.910614525139664,74.96890091556124,74.4504408285492,75.48036626105694,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
25.067039106145252,75.0080050089936,74.48422599680877,75.53314639274775,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
25.22346368715084,75.0511934214377,74.52451193543885,75.54932883512551,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
25.379888268156424,75.09799226805782,74.58899858108079,75.5880061365171,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
25.536312849162012,75.14792766401814,74.65257995785822,75.63970561652665,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
25.692737430167597,75.20052572448282,74.71049946441408,75.69095143149683,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
25.849162011173185,75.25531256461613,74.78881324787591,75.74165508572412,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
26.005586592178773,75.31181429958232,74.84965421638711,75.77878645744383,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
26.162011173184357,75.36955704454545,74.88774289612212,75.81771920022884,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
26.318435754189945,75.42806691466984,74.96114744763642,75.87445609512503,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
26.47486033519553,75.48687002511959,75.022120834375,75.92904029835616,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
26.631284916201118,75.54549249105897,75.06182765636213,75.9840221394747,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
26.787709497206706,75.60346042765224,75.12785716755711,76.04948244277647,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
26.94413407821229,75.66029995006352,75.18325214917456,76.09850833638971,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
27.100558659217878,75.71553747538069,75.23010057093087,76.14232843580167,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
27.256983240223462,75.76870440447364,75.27785138209043,76.20141967716631,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
27.41340782122905,75.81952188875823,75.32329046822086,76.25618021428502,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
27.56983240223464,75.8681035151135,75.37549815386097,76.29759926637735,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
27.726256983240223,75.9146122784978,75.42525331225809,76.3492785349085,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
27.88268156424581,75.95921117386912,75.48874261085533,76.39352145739429,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
28.039106145251395,76.00206319618583,75.55538643143049,76.43242490369722,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
28.195530726256983,76.04333134040587,75.60051376550658,76.46743541414756,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
28.35195530726257,76.08317860148745,75.65844339763015,76.50156237472693,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
28.508379888268156,76.12176797438875,75.70003288199857,76.53571255191913,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
28.664804469273744,76.15926245406794,75.74877532716374,76.56935687170767,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
28.821229050279328,76.19582503548304,75.81018716789629,76.59707917507333,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
28.977653631284916,76.23161871359243,75.867255070054,76.62416963405762,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
29.134078212290504,76.26680648335397,75.8941836070992,76.65431218041311,ET_CO2,rSO2_Ch3,1,Age_less_70,10000,slice_median,0
