run_id,ycol,xvar,bin_idx,bin_label,mean_slope
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,4,Q40-50,-0.3412117104891447
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,5,Q50-60,0.9726522098402989
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,6,Q60-70,1.118077213692244
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,7,Q70-80,0.12430638850994707
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,8,Q80-90,-0.9128457338201011
n10000_overall_mapci_te_boot200,rSO2_Ch2,TEMP,9,Q90-100,-3.837918012716729
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,0,Q0-10,0.291742204213196
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,1,Q10-20,0.2874885151150026
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,2,Q20-30,0.2739525197328526
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,3,Q30-40,0.2514902937464143
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,4,Q40-50,0.22444611433459252
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,5,Q50-60,0.19569464317901955
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,6,Q60-70,0.1653573842797521
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,7,Q70-80,0.13725432712142074
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,8,Q80-90,0.11715835734391236
n10000_overall_mapci_te_boot200,rSO2_Ch3,ET_CO2,9,Q90-100,0.10555763110976435
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,0,Q0-10,0.27180372714957063
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,1,Q10-20,0.006469983041432512
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,2,Q20-30,-0.09343917685004044
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,3,Q30-40,-0.047722776221153
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,4,Q40-50,0.011861504999759612
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,5,Q50-60,0.03230153697072464
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,6,Q60-70,0.014507349448072502
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,7,Q70-80,-0.0068924931633852615
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,8,Q80-90,0.009344195193248892
n10000_overall_mapci_te_boot200,rSO2_Ch3,FiO2_new,9,Q90-100,0.06551076848053267
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,0,Q0-10,0.9344910370748745
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,1,Q10-20,0.9274580355665749
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,2,Q20-30,0.7470869201750424
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,3,Q30-40,0.41452455503897706
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,4,Q40-50,0.18659076323907206
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,5,Q50-60,0.235123578485804
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,6,Q60-70,0.5583882396405974
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,7,Q70-80,0.9235709916756983
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,8,Q80-90,0.9778933533689143
n10000_overall_mapci_te_boot200,rSO2_Ch3,TEMP,9,Q90-100,0.6962139052784551
