run_id,ycol,xvar,bin_idx,bin_label,x0,x1,x_mid,slope_per_unit,clinical_step_effect
n10000_overall_mapci_te_boot200,rSO2_Ch1,FiO2_new,19,S20,92.55000000000001,95.0,93.775,-0.024805676157432326,-0.12402838078716164
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,0,S01,34.38,34.487,34.4335,0.8192142096352921,0.40960710481764606
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,1,S02,34.487,34.594,34.5405,0.8119490396409611,0.40597451982048055
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,2,S03,34.594,34.701,34.6475,0.7941201982014229,0.39706009910071144
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,3,S04,34.701,34.808,34.7545,0.7486074348117695,0.37430371740588475
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,4,S05,34.808,34.915000000000006,34.86150000000001,0.6765839070058571,0.33829195350292857
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,5,S06,34.915000000000006,35.022000000000006,34.968500000000006,0.5764737036012862,0.2882368518006431
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,6,S07,35.022000000000006,35.129000000000005,35.075500000000005,0.4578501527728602,0.2289250763864301
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,7,S08,35.129000000000005,35.236000000000004,35.182500000000005,0.33064223822547717,0.16532111911273858
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,8,S09,35.236000000000004,35.343,35.289500000000004,0.19898013118631666,0.09949006559315833
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,9,S10,35.343,35.45,35.3965,0.06034709052883253,0.030173545264416266
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,10,S11,35.45,35.557,35.5035,-0.07815189287338614,-0.03907594643669307
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,11,S12,35.557,35.664,35.6105,-0.1671810238117933,-0.08359051190589666
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,12,S13,35.664,35.771,35.7175,-0.1665280486990424,-0.0832640243495212
n10000_overall_mapci_te_boot200,rSO2_Ch1,TEMP,13,S14,35.771,35.878,35.8245,-0.07484453560579454,-0.03742226780289727
