ycol,cohort,model,model_tag,n_splines_main_used_json,lam_used_json,metric,value
rSO2_Ch2,Right SctO2 cohort,Right SctO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,R2 Traditional (full analytic pool),0.22193054183870542
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Samples,100000.0
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Features,18.0
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Effective DOF (model),52.21509912802226
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Deviance Explained,0.15382173389787734
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,McFadden R2,0.9992858916206118
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,AIC,863751.582186772
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,AICc,863751.6399193093
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,GCV,29.466438735999066
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,UBRE,
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Log Likelihood,-431822.575994258
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,Scale,29.438745347723287
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Training Rows,100000.0
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,RMSE (training sample),5.424331652623937
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,R2 Traditional (training sample),0.15382173389787723
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,N Eval Rows (full analytic pool),20068989.0
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,RMSE (full analytic pool),5.41909456891088
rSO2_Ch3,SftO2 cohort,SftO2 model,total_etco2_temp_fio2_map_ci,"[10, 10, 10, 10, 10]",3.0,R2 Traditional (full analytic pool),0.15290194603511598
