x,pred_mean,pred_lo_2.5,pred_hi_97.5,xvar,ycol,sec,subgroup,n_sample,plot_mode,n_boot_ok
30.0,70.78222022797088,69.06281851446313,72.68383730215189,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
30.391061452513966,70.78306893796804,69.12349465812788,72.61272951725655,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
30.782122905027933,70.7846622244375,69.18714395723836,72.5429607997545,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
31.1731843575419,70.78691635793088,69.24997137998248,72.47448465804257,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
31.564245810055866,70.78984123898009,69.32199696002904,72.40725460051767,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
31.955307262569832,70.79334771334008,69.38909943481275,72.34122413557668,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
32.3463687150838,70.79733615499569,69.45373580504366,72.22122761654654,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
32.737430167597765,70.80171367991898,69.531788169607,72.09690437214238,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
33.12849162011173,70.80636580440215,69.60841173828209,72.05371158120498,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
33.5195530726257,70.8111778101636,69.68337754157766,72.01150924362025,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
33.910614525139664,70.8160349789218,69.71302264775589,71.97021879682467,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
34.30167597765363,70.82082259239537,69.75722407774656,71.92976167825464,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
34.6927374301676,70.82542593230262,69.818521942362,71.89005932534664,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
35.08379888268156,70.8297302803622,69.87773536733889,71.850586756696,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
35.47486033519553,70.83362091829255,69.92888860882024,71.81260466626246,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
35.865921787709496,70.83698312781219,69.96964235553534,71.77469523495918,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
36.25698324022346,70.83970219063961,70.00927035594157,71.70073958845038,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
36.64804469273743,70.84166338849329,70.0475820168974,71.66056887295008,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
37.039106145251395,70.84275200309168,70.07188673619989,71.64299848917676,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
37.43016759776536,70.84285331615338,70.08904197694814,71.62667703818863,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
37.82122905027933,70.84185260939678,70.1311220876211,71.59018455828885,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
38.212290502793294,70.83963516454051,70.14713265035002,71.55373978097913,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
38.60335195530726,70.83608626330296,70.1417346769012,71.51726414369588,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
38.99441340782123,70.83109118740269,70.14677550322322,71.48067908387557,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
39.385474860335194,70.82453521855822,70.16200355889606,71.44390603895465,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
39.77653631284916,70.81630363848791,70.18442837795303,71.41121580888604,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
40.167597765363126,70.8062848490827,70.19193920532837,71.40022537669189,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
40.55865921787709,70.79447033348087,70.19249473026319,71.38515061221612,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
40.94972067039106,70.78097588129953,70.19150071555532,71.32282613766382,FiO2_new,rSO2_Ch1,1,All,10000,slice_median,0
