x,pred_mean,pred_lo_2.5,pred_hi_97.5,xvar,ycol,sec,subgroup,n_sample,plot_mode,n_boot_ok
34.0,75.38875236645768,74.64705921200444,75.93889887448555,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.01944134078212,75.35641555735805,74.68499055035824,75.86937888902793,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.038882681564246,75.32859239871232,74.7220440175668,75.8118089874622,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.05832402234637,75.30511836166164,74.68708489195598,75.78148061990059,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.07776536312849,75.28582891734678,74.6736327756662,75.7356831831542,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.097206703910615,75.27055953690886,74.6821951440651,75.71688377858167,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.11664804469274,75.25914569148868,74.6208859949447,75.69809901538869,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.13608938547486,75.25142285222722,74.62754080972866,75.69787059403568,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.155530726256984,75.24722649026549,74.64351517729875,75.7110586489153,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.17497206703911,75.24639207674434,74.66899659987453,75.75140020882091,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.19441340782123,75.24875508280482,74.69455415657924,75.78804199797113,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.21385474860335,75.25415097958779,74.6943185619638,75.81334558815897,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.233296089385476,75.26241523823433,74.67941508947843,75.83639093147102,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.2527374301676,75.27338332988526,74.65855293721316,75.85783486233899,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.27217877094972,75.28689072568149,74.64720928382161,75.87776009607595,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.291620111731845,75.30277289676411,74.64483109027108,75.89624934799494,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.31106145251397,75.32086531427397,74.65086531752894,75.91338533340904,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.33050279329609,75.34100344935202,74.67041632446558,75.92925076763132,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.349944134078214,75.36302277313928,74.71549213615876,75.94392836597481,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.36938547486034,75.3867587567766,74.75654909586692,75.9575008437526,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.38882681564246,75.41204687140498,74.79238565905797,75.97005091627773,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.40826815642458,75.43872258816535,74.83326142287456,75.96439133099794,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.427709497206706,75.46662137819872,74.87863342762574,75.97548803498839,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.44715083798883,75.49557871264595,74.92772078009023,76.00125437721834,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.46659217877095,75.52543006264804,74.95628243528446,76.00879314639607,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.486033519553075,75.55601089934588,74.99248085883465,76.02246209132936,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.5054748603352,75.58715669388053,75.05222214737901,76.05027533167213,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.52491620111732,75.61870291739282,75.1142924273723,76.0591955239356,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.544357541899444,75.65048504102374,75.17813865978187,76.07696136915912,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.56379888268157,75.68233853591423,75.24198036697273,76.10078659372097,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.58324022346369,75.71409887320524,75.26430248916125,76.12743709174836,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.602681564245806,75.74560152403774,75.295081179764,76.15961917412287,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.62212290502793,75.77668195955268,75.3486920931988,76.1905671814816,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
