x,pred_mean,pred_lo_2.5,pred_hi_97.5,xvar,ycol,sec,subgroup,n_sample,plot_mode,n_boot_ok,channel_label
21.0,67.17421691843144,66.28917699453652,68.01289809643976,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
21.156424581005588,67.22275864087558,66.37325622246914,68.01466539653794,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
21.31284916201117,67.2724451907578,66.45673277270781,68.0276402007604,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
21.46927374301676,67.32323365958567,66.54223632256526,68.04237778710278,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
21.625698324022345,67.37508113886669,66.61867746486143,68.05885595283696,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
21.782122905027933,67.42794472010846,66.68392395050645,68.09145197978337,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
21.93854748603352,67.48178149481843,66.73261160083383,68.12964622038528,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
22.094972067039105,67.53654855450428,66.80117847733767,68.1447641140482,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
22.251396648044693,67.59220299067354,66.8922502542866,68.16143238967015,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
22.40782122905028,67.64870189483368,66.98361131547432,68.18482162582319,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
22.564245810055866,67.7060023584923,67.05490415801738,68.23904917801234,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
22.720670391061454,67.764061473157,67.15021198631277,68.30275219424107,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
22.87709497206704,67.82283633033528,67.25840923819761,68.34613432164555,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
23.033519553072622,67.88228402153467,67.3499064700679,68.39734434287556,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
23.18994413407821,67.94236163826281,67.43163788940483,68.42485415854446,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
23.3463687150838,68.00302627202716,67.51105850798267,68.48230368681705,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
23.502793296089383,68.06423501433534,67.59031160431712,68.549221680113,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
23.65921787709497,68.12594495669482,67.65042921094488,68.61571518339902,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
23.81564245810056,68.18811319061327,67.69298669476957,68.66755836198769,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
23.972067039106147,68.25069680759816,67.73752647825651,68.72783715597018,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
24.12849162011173,68.31365289915705,67.78399002297111,68.7917037280084,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
24.28491620111732,68.3769385567975,67.83231879047877,68.84229588026707,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
24.441340782122904,68.4405108720271,67.90314348182005,68.88866450013003,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
24.59776536312849,68.50432693635331,67.97901296964703,68.9393443872125,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
24.75418994413408,68.56834384128373,68.05545844756153,68.99479152691316,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
24.910614525139664,68.63251868923207,68.12233158233815,69.06400371265045,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
25.06703910614525,68.69680997920169,68.18648696325602,69.13215645618092,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
25.22346368715084,68.761202931361,68.2671264146589,69.19922328666206,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
25.379888268156424,68.82571392200862,68.34748892387093,69.26529009000612,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
25.53631284916201,68.89036117768563,68.41189551937839,69.33044944127161,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
25.6927374301676,68.95516292493292,68.46905895417771,69.39479391551714,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
25.849162011173185,69.02013739029167,68.54467708389241,69.45841608780123,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
26.005586592178773,69.08530280030274,68.61757343177706,69.52140853318241,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
26.16201117318436,69.15067738150728,68.68519341978902,69.58084833158864,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
26.318435754189945,69.21627936044628,68.75377963647193,69.63624721690871,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
26.47486033519553,69.28212696366066,68.82328022968403,69.69055350841134,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
26.63128491620112,69.34823841769145,68.89364334728359,69.74474951958132,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
26.787709497206706,69.41463194907985,68.96481713712885,69.8073837973852,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
26.94413407821229,69.48132578436662,69.03674974707803,69.8871566018573,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
27.10055865921788,69.54833815009296,69.10938932498942,69.95138584297354,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
27.256983240223462,69.61568727279987,69.18268401872129,70.01301472019414,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
27.41340782122905,69.6833913790283,69.25658197613183,70.07512975338635,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
27.56983240223464,69.75146869531922,69.33103134507934,70.13706452021617,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
27.726256983240223,69.8199374482138,69.40598027342205,70.19923992352984,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
27.88268156424581,69.88881586425293,69.4813769090182,70.26189650064322,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
28.039106145251395,69.95812216997773,69.55716939972606,70.32512682661485,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
28.195530726256983,70.02787459192913,69.63516700165337,70.38902347650328,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
28.35195530726257,70.09809135664813,69.7113847499763,70.46029458592673,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
28.50837988826816,70.1687906906758,69.78799392545025,70.53400005727153,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
28.664804469273744,70.23999082055325,69.86494141103685,70.6038004149973,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
28.821229050279328,70.3117099431059,69.9421740896978,70.67552190764712,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
28.97765363128492,70.38396593019831,70.0148221915504,70.74624326297447,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
29.134078212290504,70.45677590523991,70.08375936468872,70.81591532072613,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
29.29050279329609,70.5301536059896,70.16014038558194,70.88268196889236,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
29.44692737430168,70.6041114810731,70.22851470053169,70.95239230910795,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
29.60335195530726,70.67866197657845,70.29898617774862,71.02145904209581,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
29.75977653631285,70.7538175385934,70.37337086492613,71.1007872186581,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
29.91620111731844,70.82959061320615,70.44899537855494,71.18293449467023,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
30.072625698324025,70.90599364650441,70.52581088965863,71.26104006332154,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
30.22905027932961,70.9830390845762,70.60376856926067,71.34060102759418,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
30.385474860335197,71.06073937350956,70.68281958838463,71.42258691678568,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
30.54189944134078,71.13910695939235,70.75806817764595,71.50540040719595,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
30.69832402234637,71.21815428831253,70.83557780719511,71.58901522087102,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
30.85474860335196,71.29789380635805,70.91802902810268,71.67340507985689,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
31.011173184357546,71.37833795961689,71.00166726235472,71.75854370619957,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
31.167597765363126,71.45949919417694,71.08624046443609,71.84128639560973,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
31.324022346368714,71.54138995612621,71.15435232130318,71.92129016947928,ET_CO2,rSO2_Ch1,1,All,10000,slice_median,0,Left SctO2
