table,cohort,characteristic,value,missing_n
Table 2 intraoperative/timestamp,Right SctO2,"rSO2_Ch2, median (IQR)",72.0 (68.0-75.0),0
Table 2 intraoperative/timestamp,Right SctO2,"Patients, n",20075597,0
Table 1 baseline/static,SftO2,"Age, mean (SD)",68.7 (5.3),0
Table 1 baseline/static,SftO2,"Age, median (IQR)",68.0 (65.0-72.0),0
Table 1 baseline/static,SftO2,"BMI, mean (SD)",25.3 (3.2),0
Table 1 baseline/static,SftO2,"BMI, median (IQR)",25.0 (23.1-27.1),0
Table 1 baseline/static,SftO2,"Cardiac_index, mean (SD)",2.5 (0.8),0
Table 1 baseline/static,SftO2,"Cardiac_index, median (IQR)",2.4 (2.0-2.9),0
Table 1 baseline/static,SftO2,"Mean_blood_pressure, mean (SD)",89.9 (12.4),0
Table 1 baseline/static,SftO2,"Mean_blood_pressure, median (IQR)",89.0 (81.3-98.0),0
Table 1 baseline/static,SftO2,"Hb, mean (SD)",132.1 (15.5),0
Table 1 baseline/static,SftO2,"Hb, median (IQR)",133.0 (122.0-142.0),0
Table 1 baseline/static,SftO2,"Left_SctO2, mean (SD)",72.4 (4.0),0
Table 1 baseline/static,SftO2,"Left_SctO2, median (IQR)",72.7 (70.0-75.0),0
Table 1 baseline/static,SftO2,"Right_SctO2, mean (SD)",70.8 (4.4),0
Table 1 baseline/static,SftO2,"Right_SctO2, median (IQR)",71.0 (68.0-74.0),0
Table 1 baseline/static,SftO2,"SstO2, mean (SD)",74.2 (4.7),0
Table 1 baseline/static,SftO2,"SstO2, median (IQR)",74.7 (71.3-77.3),0
Table 1 baseline/static,SftO2,"Patients, n",1789,0
Table 1 baseline/static,SftO2,"Male, n (%)",1254 (70.1%),0
Table 1 baseline/static,SftO2,"Smoking_new=0.0, n (%)",757 (42.3%),0
Table 1 baseline/static,SftO2,"Smoking_new=1.0, n (%)",674 (37.7%),0
Table 1 baseline/static,SftO2,"Smoking_new=2.0, n (%)",358 (20.0%),0
Table 1 baseline/static,SftO2,"Drinking_status, n (%)",458 (25.6%),0
Table 1 baseline/static,SftO2,"Diabetes_status, n (%)",768 (42.9%),0
Table 1 baseline/static,SftO2,"Hypertension, n (%)",1313 (73.4%),0
Table 1 baseline/static,SftO2,"Carotid_artery_disease=0.0, n (%)",1344 (75.1%),0
Table 1 baseline/static,SftO2,"Carotid_artery_disease=1.0, n (%)",108 (6.0%),0
