subgroup,ycol,xvar,clinical_step,clinical_step_label,signed_effect_q25,signed_effect_median,signed_effect_q75,n_segments,window_lo,window_hi,window_source
All,rSO2_Ch1,ET_CO2,5.0,CO2 +5 mmHg,2.171326594620387,2.5109468835822817,2.991964985543831,20,24.0,37.0,model_input_q05_q95
All,rSO2_Ch1,TEMP,0.5,TEMP +0.5 C,0.013274591997604484,0.1662599064180056,0.3007506272262145,20,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,FiO2_new,5.0,FiO2 +5%,-0.11736551239631064,0.1770689058892253,0.3597019267228483,20,46.0,95.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,5.0,CO2 +5 mmHg,2.027183136278797,2.366805079498141,2.844692808986726,20,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,TEMP,0.5,TEMP +0.5 C,-0.09491764282397921,0.29428261488374247,0.6169643775745837,20,34.39,36.5105,model_input_q05_q95
All,rSO2_Ch2,FiO2_new,5.0,FiO2 +5%,-0.09431825030592829,0.1526187274010789,0.39441350371413375,20,46.0,95.0,model_input_q05_q95
All,rSO2_Ch3,ET_CO2,5.0,CO2 +5 mmHg,1.1227393212256365,1.2708324063826137,1.388189432620956,20,24.0,37.0,model_input_q05_q95
All,rSO2_Ch3,TEMP,0.5,TEMP +0.5 C,0.12284913552916432,0.24345738202155304,0.3826852774170745,20,34.39,36.52,model_input_q05_q95
All,rSO2_Ch3,FiO2_new,5.0,FiO2 +5%,-0.07391507443827397,0.008858476980534262,0.115311321747386,20,46.0,95.0,model_input_q05_q95
