subgroup,ycol,xvar,segment,x_start,x_end,pred_start,pred_end,clinical_step,clinical_step_label,signed_effect,window_lo,window_hi,window_source
All,rSO2_Ch1,FiO2_new,12,72.95,75.4,71.03798471414754,70.87796345788288,5.0,FiO2 +5%,-0.3265739923768489,46.0,95.0,model_input_q05_q95
All,rSO2_Ch1,FiO2_new,13,75.4,77.85,70.87796345788288,70.80173577761663,5.0,FiO2 +5%,-0.15556669442093324,46.0,95.0,model_input_q05_q95
All,rSO2_Ch1,FiO2_new,14,77.85,80.3,70.80173577761663,70.91413552574224,5.0,FiO2 +5%,0.22938724107267555,46.0,95.0,model_input_q05_q95
All,rSO2_Ch1,FiO2_new,15,80.3,82.75,70.91413552574224,71.26470957174939,5.0,FiO2 +5%,0.7154572367492922,46.0,95.0,model_input_q05_q95
All,rSO2_Ch1,FiO2_new,16,82.75,85.2,71.26470957174939,71.74522809717698,5.0,FiO2 +5%,0.9806500518930277,46.0,95.0,model_input_q05_q95
All,rSO2_Ch1,FiO2_new,17,85.2,87.65,71.74522809717698,72.21616846651517,5.0,FiO2 +5%,0.9611027945677425,46.0,95.0,model_input_q05_q95
All,rSO2_Ch1,FiO2_new,18,87.65,90.1,72.21616846651517,72.53908017766337,5.0,FiO2 +5%,0.6590034921391746,46.0,95.0,model_input_q05_q95
All,rSO2_Ch1,FiO2_new,19,90.1,92.55,72.53908017766337,72.62566194107623,5.0,FiO2 +5%,0.17669747635278765,46.0,95.0,model_input_q05_q95
All,rSO2_Ch1,FiO2_new,20,92.55,95.0,72.62566194107623,72.56488803449052,5.0,FiO2 +5%,-0.1240283807871609,46.0,95.0,model_input_q05_q95
All,rSO2_Ch1,TEMP,1,34.38,34.487,70.28854061178305,70.37619653221402,0.5,TEMP +0.5 C,0.40960710481764606,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,2,34.487,34.594,70.37619653221402,70.46307507945562,0.5,TEMP +0.5 C,0.40597451982054694,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,3,34.594,34.701,70.46307507945562,70.54804594066316,0.5,TEMP +0.5 C,0.39706009910064505,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,4,34.701,34.808,70.54804594066316,70.62814693618802,0.5,TEMP +0.5 C,0.37430371740588475,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,5,34.808,34.915000000000006,70.62814693618802,70.70054141423765,0.5,TEMP +0.5 C,0.33829195350292857,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,6,34.915000000000006,35.022000000000006,70.70054141423765,70.76222410052299,0.5,TEMP +0.5 C,0.2882368518006431,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,7,35.022000000000006,35.129000000000005,70.76222410052299,70.81121406686968,0.5,TEMP +0.5 C,0.2289250763864301,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,8,35.129000000000005,35.236000000000004,70.81121406686968,70.8465927863598,0.5,TEMP +0.5 C,0.16532111911273858,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,9,35.236000000000004,35.343,70.8465927863598,70.86788366039674,0.5,TEMP +0.5 C,0.09949006559315833,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,10,35.343,35.45,70.86788366039674,70.87434079908333,0.5,TEMP +0.5 C,0.030173545264416266,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,11,35.45,35.557,70.87434079908333,70.86597854654588,0.5,TEMP +0.5 C,-0.03907594643669307,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,12,35.557,35.664,70.86597854654588,70.84809017699801,0.5,TEMP +0.5 C,-0.08359051190589666,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,13,35.664,35.771,70.84809017699801,70.8302716757872,0.5,TEMP +0.5 C,-0.0832640243495876,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,14,35.771,35.878,70.8302716757872,70.8222633104774,0.5,TEMP +0.5 C,-0.037422267802830866,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,15,35.878,35.985,70.8222633104774,70.8335999035211,0.5,TEMP +0.5 C,0.0529747338491049,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,16,35.985,36.092000000000006,70.8335999035211,70.86938042397789,0.5,TEMP +0.5 C,0.1671986937232726,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,17,36.092000000000006,36.199000000000005,70.86938042397789,70.91705813416493,0.5,TEMP +0.5 C,0.22279303825722274,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,18,36.199000000000005,36.306000000000004,70.91705813416493,70.95843330546353,0.5,TEMP +0.5 C,0.1933419219560621,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,19,36.306000000000004,36.413000000000004,70.95843330546353,70.97532416692032,0.5,TEMP +0.5 C,0.07892925914386437,34.38,36.52,model_input_q05_q95
All,rSO2_Ch1,TEMP,20,36.413000000000004,36.52,70.97532416692032,70.95037846647726,0.5,TEMP +0.5 C,-0.1165686936591378,34.38,36.52,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,1,24.0,24.65,68.29858076007505,68.47887394774554,5.0,CO2 +5 mmHg,1.3868706743883574,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,2,24.65,25.3,68.47887394774554,68.68721054271676,5.0,CO2 +5 mmHg,1.602589192086261,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,3,25.3,25.95,68.68721054271676,68.91793230705603,5.0,CO2 +5 mmHg,1.774782802609842,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,4,25.95,26.6,68.91793230705603,69.16536729892852,5.0,CO2 +5 mmHg,1.9033460913267721,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,5,26.6,27.25,69.16536729892852,69.42384442420021,5.0,CO2 +5 mmHg,1.988285579013052,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,6,27.25,27.9,69.42384442420021,69.6890637927313,5.0,CO2 +5 mmHg,2.040148988700712,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,7,27.9,28.55,69.6890637927313,69.96133129459916,5.0,CO2 +5 mmHg,2.094365398983521,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,8,28.55,29.2,69.96133129459916,70.24200244184398,5.0,CO2 +5 mmHg,2.1590088249601362,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,9,29.2,29.85,70.24200244184398,70.5324477536409,5.0,CO2 +5 mmHg,2.2341947061301113,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,10,29.85,30.5,70.5324477536409,70.83403477807099,5.0,CO2 +5 mmHg,2.3199001879237846,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,11,30.5,31.15,70.83403477807099,71.14781707431041,5.0,CO2 +5 mmHg,2.4137099710724965,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,12,31.15,31.8,71.14781707431041,71.47427545472205,5.0,CO2 +5 mmHg,2.511218310858738,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,13,31.8,32.45,71.47427545472205,71.81384014321247,5.0,CO2 +5 mmHg,2.6120360653109658,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,14,32.45,33.1,71.81384014321247,72.16680200566526,5.0,CO2 +5 mmHg,2.7150912496368296,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,15,33.1,33.75,72.16680200566526,72.53346265102032,5.0,CO2 +5 mmHg,2.8204665027311924,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,16,33.75,34.4,72.53346265102032,72.91272097562825,5.0,CO2 +5 mmHg,2.917371727753327,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,17,34.4,35.05,72.91272097562825,73.30198597052997,5.0,CO2 +5 mmHg,2.994346114628642,24.0,37.0,model_input_q05_q95
All,rSO2_Ch2,ET_CO2,18,35.05,35.7,73.30198597052997,73.698581420177,5.0,CO2 +5 mmHg,3.0507342280541074,24.0,37.0,model_input_q05_q95
