x,pred_mean,pred_lo_2.5,pred_hi_97.5,xvar,ycol,sec,subgroup,n_sample,plot_mode,n_boot_ok
34.0,74.87988567102093,74.29708799188515,75.3665419328349,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.01944134078212,74.89716539897245,74.32270556710388,75.35771526759615,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.038882681564246,74.91460966480882,74.36557184271308,75.36234747160022,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.05832402234637,74.93220805252636,74.407419187215,75.38742078687194,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.07776536312849,74.94995014612142,74.4482622676372,75.39665179535274,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.097206703910615,74.96782552959051,74.467082652197,75.40438132386954,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.11664804469274,74.98582378692988,74.47883175863399,75.40780385977229,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.13608938547486,75.00393450213585,74.49142419112454,75.42292989031125,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.155530726256984,75.02214725920498,74.50482901513888,75.43745125285336,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.17497206703911,75.04045164213348,74.51901529614722,75.4440100442454,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.19441340782123,75.05883723491793,74.53395209961985,75.4524571241132,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.21385474860335,75.07729362155453,74.54960849102702,75.47126461676935,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.233296089385476,75.09581038603967,74.58197162336077,75.4900031567482,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.2527374301676,75.11437711236982,74.6217215966405,75.50406474314075,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.27217877094972,75.13298338454138,74.65943866987308,75.51482714174436,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.291620111731845,75.1516187865506,74.66804954341364,75.53685882356237,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.31106145251397,75.17027290239399,74.68909530268728,75.55383427757465,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.33050279329609,75.18893531606788,74.71834700872984,75.56643481114428,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.349944134078214,75.20759561156855,74.73584674587968,75.58450574892832,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.36938547486034,75.2262433728926,74.76245228664766,75.60370834410804,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.38882681564246,75.24486818403625,74.78890173311993,75.62242555007725,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.40826815642458,75.26345962899586,74.8151797373393,75.64066156776568,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.427709497206706,75.28200729176793,74.84127095134858,75.65961641969352,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.44715083798883,75.30050075634874,74.86716002719055,75.68628291142247,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.46659217877095,75.31892960673473,74.89283161690801,75.7069406722778,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
34.486033519553075,75.33728342692224,74.91827037254377,75.72492028067992,TEMP,rSO2_Ch3,1,All,10000,slice_median,0
