plot_mode,subgroup,ycol,xvar,sec,n_sample,n_boot_ok,x,y,y_lo,y_hi,x_lim_lo,x_lim_hi,y_lim_lo,y_lim_hi
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,21,69.6551753823314,68.36324478578621,70.93583897056355,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,21.156424581005588,69.56452322780562,68.38940350686715,70.72027544257666,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,21.312849162011172,69.4831843574659,68.42740283788996,70.51601762600546,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,21.46927374301676,69.41088062763319,68.43744386284996,70.32976176765666,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,21.625698324022345,69.34733389462801,68.45109282920944,70.16093117173261,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,21.782122905027933,69.29226601477104,68.46863802463918,70.04114555689875,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,21.93854748603352,69.24539884438298,68.48980566640742,69.91881607947421,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,22.094972067039105,69.20645423978446,68.51446248938299,69.84663521012689,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,22.251396648044693,69.1751540572962,68.54247522843477,69.81202948841309,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,22.40782122905028,69.15122015323882,68.56181639929584,69.78348365197382,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,22.564245810055866,69.13437438393315,68.57946692802423,69.76050226054588,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,22.720670391061457,69.12433860569976,68.5948834267428,69.7273797214583,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,22.87709497206704,69.12083467485921,68.62619424203776,69.684776007153,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,23.033519553072622,69.12358444773231,68.6388970035983,69.6624698828007,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,23.18994413407821,69.13230978063974,68.62487058549972,69.64549146983909,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,23.3463687150838,69.14673252990214,68.62197272310004,69.63308428804373,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,23.502793296089383,69.16657455184011,68.63760605089311,69.62513520844695,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,23.65921787709497,69.19155770277449,68.66371358657369,69.63695222935448,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,23.81564245810056,69.2214038390258,68.7079988888302,69.6603416726221,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,23.972067039106147,69.2558348169148,68.77114920795609,69.68853195619502,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,24.12849162011173,69.29457249276219,68.81174539219938,69.72124785995845,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,24.28491620111732,69.33733872288842,68.86170703242313,69.75821416379762,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,24.441340782122904,69.383855363614515,68.92027019528277,69.79448263928268,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,24.59776536312849,69.4338442712609,68.9866709474338,69.83556402913212,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,24.75418994413408,69.48702730214839,69.06014535553169,69.88163347901043,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,24.910614525139664,69.5431263125975,69.14197354365191,69.91725642467972,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,25.067039106145252,69.60186315892905,69.23074867939475,69.95818166428197,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,25.22346368715084,69.66295969746362,69.30541048338793,70.00692162331526,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,25.379888268156424,69.72613778452194,69.37170083290098,70.06998421422307,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,25.536312849162012,69.79111927642468,69.43565110894845,70.13386186146283,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,25.692737430167597,69.85762602949248,69.51801571385467,70.19832793772889,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,25.849162011173185,69.92537990004608,69.59327145883258,70.26315581571562,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,26.005586592178773,69.99410274440606,69.65912558289878,70.33606014816144,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,26.162011173184357,70.06351641889319,69.73571973430289,70.39299046762864,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,26.318435754189945,70.13334277982806,69.80262963945414,70.45754398694365,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,26.47486033519553,70.20330368353135,69.86614827556839,70.52463004246681,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,26.63128491620112,70.27312142267314,69.9317992864473,70.61313422070933,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,26.787709497206706,70.34261079597138,69.9906978612836,70.70188857300636,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,26.94413407821229,70.4117929953556,70.05097706938338,70.7708040660589,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,27.10055865921788,70.48071713910936,70.1131184979328,70.83833633883202,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,27.256983240223462,70.54943234551618,70.19730042538228,70.90586320283653,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,27.41340782122905,70.6179877328597,70.2650699138483,70.9734136171253,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,27.56983240223464,70.68643241942337,70.33340398908979,71.02833321942488,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,27.726256983240223,70.75481552349085,70.40230610374803,71.08437345709666,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,27.88268156424581,70.82318616334565,70.47297674034515,71.15317773648653,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,28.039106145251395,70.89159345727138,70.54728890417084,71.22188475610766,20,50,66,81
slice_median,Male,rSO2_Ch1,ET_CO2,1,10000,0,28.195530726256983,70.96008652355162,70.62236255224977,71.29054310390865,20,50,66,81
